id	type	message	created_time	comments	likes	commentsandlikes
265217103529531_524212897629949	link	!	2013-03-26T03:04:50+0000	14	6	20
265217103529531_524479240936648	link		2013-03-26T20:31:49+0000	5	9	14
265217103529531_524972334220672	link	http://blogdaboitempo.com.br/category/colunas/slavoj-zizek/	2013-03-28T00:37:09+0000	0	1	1
265217103529531_524913570893215	status		2013-03-27T21:07:54+0000	0	3	3
265217103529531_524913157559923	status	En el fetichismo_ el sexo echa abajo las barreras entre los mundos orgánico e inorgánico. Vestidos y adornos establecen con él sus alianzas._Obra de los pasajes_Obra de los pasajes_ B 3_ 8	2013-03-27T21:06:23+0000	0	1	1
265217103529531_524910867560152	link	[instalação de Rita Wu] - http://file.org.br/file_games_rio/file-games-rio-2013-game-lover-3/	2013-03-27T20:56:24+0000	1	2	3
265217103529531_524876807563558	link	http://www.pesquisaemcultura.org/	2013-03-27T19:03:41+0000	0	1	1
265217103529531_524779934239912	link	http://www.puretrend.com.br/secao/fresquinhas_r11/instituto-tomie-ohtake-inaugura-a-exposicao-estranhamente-familiar-unheimlich-propondo-uma-reflexao-sobre-o-termo-freudiano_a10058/1	2013-03-27T13:58:12+0000	6	5	11
265217103529531_524779274239978	link	http://www.sesisp.org.br/Cultura/galeria-de-arte-digital-do-sesi-sp-mostra-play.htm	2013-03-27T13:55:47+0000	0	2	2
265217103529531_524574097593829	link	[Próximo encontro] - dia 13.04	2013-03-27T02:20:17+0000	0	8	8
265217103529531_524500954267810	link		2013-03-26T21:54:36+0000	0	1	1
265217103529531_524214607629778	link		2013-03-26T03:12:51+0000	0	2	2
265217103529531_524118147639424	link	Oba! Livro novo sobre Marcuse!___Do romance de artista à performance da arte: Marcuse e as aporias da modernidade estética_ - Aléxia Cruz Bretas	2013-03-25T21:25:59+0000	0	7	7
265217103529531_523816894336216	status	A AURA DA OBRA DE ARTE PÚBLICA:_uma análise das intervenções artísticas no espaço urbano a partir do conceito benjaminiano de aura_Lamounier Lucas Pereira Júnior1 Centro Universitário Newton Paiva raoult@bol.com.br	2013-03-25T04:25:53+0000	3	1	4
265217103529531_523945704323335	link	http://culturadigital.br/contraculturadigital/2012/01/16/psico-ativismo-neodarwinista/	2013-03-25T13:15:22+0000	0	2	2
265217103529531_523938190990753	link		2013-03-25T12:46:51+0000	0	1	1
265217103529531_523753791009193	photo	_The Pirate Bay_	2013-03-25T00:08:38+0000	0	2	2
265217103529531_523361034381802	status	http://tranzmidias.com.br/foto/	2013-03-24T00:37:02+0000	0	1	1
265217103529531_523131497738089	link	[ativador de espacialidades temporárias] http://www.funarte.gov.br/artes-visuais/site-conectara-projetos-de-ocupacao-a-espacos-disponiveis/	2013-03-23T12:11:56+0000	2	1	3
265217103529531_523146641069908	status	ontem no seminario sobre a brasilianideda_ a paraty falei de 5 culturas sincretiKa: no item 3 : adorno nao è enfeite_ tranzmedia_ fora do eixo	2013-03-23T13:07:46+0000	7	3	10
265217103529531_522529711131601	photo		2013-03-21T20:55:36+0000	5	2	7
265217103529531_522966774421228	link	[Concurso prof visitante estrangeiro] http://www.unila.edu.br/concursos	2013-03-23T02:27:25+0000	3	1	4
265217103529531_522979887753250	status		2013-03-23T03:36:02+0000	3	0	3
265217103529531_475800149137891	link	http://www.ufrb.edu.br/ebecult/wp-content/uploads/2012/04/A-poesia-e-a-sacerdotisa-no-espet-aÃÅculo-do-banquete-de-PlataÃÉo.pdf	2012-12-17T17:56:06+0000	27	4	31
265217103529531_522763384441567	link	_Information – Society – Technology & Media__Christian Fuchs	2013-03-22T14:03:55+0000	0	3	3
265217103529531_522012994516606	link		2013-03-20T14:14:48+0000	1	3	4
265217103529531_520762164641689	photo		2013-03-17T19:59:42+0000	1	8	9
265217103529531_522013124516593	photo		2013-03-20T14:15:16+0000	0	2	2
265217103529531_522006454517260	link	Congresso de Estética	2013-03-20T13:49:05+0000	0	5	5
265217103529531_521821257869113	status	http://www.brasildefato.com.br/node/12385	2013-03-20T01:04:31+0000	0	0	0
265217103529531_521669921217580	link	A Course on Fabbing and Nanotechnologies at ISIA Design Florence_www.artisopensource.net_This year_s course at ISIA Design in Florence will see us busy with the critical analysis of the new developments of fabbing (3Dprinting_ maker culture_ etc) and nanotechnologies_ and with the creation of concepts for the near future. Continue reading →	2013-03-19T18:20:59+0000	0	4	4
265217103529531_521581287893110	photo	Video interativo	2013-03-19T13:36:06+0000	0	1	1
265217103529531_521558064562099	status	Elcio Da Riva Moura!	2013-03-19T11:57:41+0000	0	3	3
265217103529531_521208451263727	link	https://www.facebook.com/events/352139801569554/?fref=ts	2013-03-18T18:27:04+0000	0	2	2
265217103529531_521190497932189	photo		2013-03-18T17:41:29+0000	0	1	1
265217103529531_520842214633684	link	[HOJE] - Análise das Redes e Cidades Tranzmidias!! Com Renato Fabbris.	2013-03-18T00:02:15+0000	1	1	2
265217103529531_520789454638960	link	Paul Valery - _La conquête de l_ubiguité_ (1928)__http://classiques.uqac.ca/classiques/Valery_paul/conquete_ubiguite/valery_conquete_ubiquite.pdf	2013-03-17T21:22:47+0000	0	4	4
265217103529531_520779081306664	status	T.O.T.E - Zaven Paré	2013-03-17T20:53:44+0000	0	2	2
265217103529531_520761307975108	photo		2013-03-17T19:56:39+0000	0	2	2
265217103529531_520759857975253	photo		2013-03-17T19:51:51+0000	0	4	4
265217103529531_520712097980029	photo		2013-03-17T17:50:04+0000	1	2	3
265217103529531_520712237980015	photo		2013-03-17T17:50:28+0000	0	2	2
265217103529531_520260491358523	photo		2013-03-16T16:52:29+0000	0	0	0
265217103529531_520188814699024	photo		2013-03-16T12:44:46+0000	0	0	0
265217103529531_520188338032405	photo		2013-03-16T12:42:24+0000	0	0	0
265217103529531_519812364736669	video		2013-03-15T12:57:55+0000	0	5	5
265217103529531_519792574738648	status	PENAS__Curta-metragem adaptado da HQ original de Laerte Coutinho_Direçao: Paulinho Caruso	2013-03-15T11:52:30+0000	1	1	2
265217103529531_519222444795661	link		2013-03-13T21:44:57+0000	0	1	1
265217103529531_519090881475484	photo		2013-03-13T14:03:38+0000	0	2	2
265217103529531_519066771477895	status	Pra quem se interessar_ inscrições abertas	2013-03-13T12:31:58+0000	0	1	1
265217103529531_519045268146712	link	Ajuda ao Renato - divulgar_http://labmacambira.sourceforge.net/redes/	2013-03-13T11:08:51+0000	0	5	5
265217103529531_519043884813517	link	http://labmacambira.sourceforge.net/	2013-03-13T11:03:29+0000	0	2	2
265217103529531_519027798148459	link		2013-03-13T09:52:49+0000	0	1	1
265217103529531_518810948170144	status	postei hoje esta critica à imprensa paulistana e um fb-amigo_ Jorge L Campos_ me escreveu q ele è disposto  a iniciar esta critica e pratica e q tem um streaming etc...o q vcs acham?	2013-03-12T18:18:00+0000	3	2	5
265217103529531_518428304875075	link	https://www.facebook.com/events/531012320282814/?fref=tck	2013-03-11T20:05:18+0000	1	4	5
265217103529531_518348241549748	link		2013-03-11T16:17:05+0000	0	7	7
265217103529531_518302381554334	link	Para quitar algumas dúvidas do que foi debatido neste último sábado pelo grupo. O LHC foi desligado e não está operando no momento. Somente no início de 2015 é que ele será reativado.__http://revistagalileu.globo.com/Revista/Common/0__EMI331060-17770_00-COLISOR+DE+PARTICULAS+LHC+SERA+DESLIGADO+POR+DOIS+ANOS+PARA+MANUTENCAO.html__http://misteriosdomundo.com/lhc-esta-sendo-desligado-pelo-cern__http://lhc.web.cern.ch/lhc/	2013-03-11T13:41:04+0000	3	3	6
265217103529531_518007581583814	link	Chamada para o V Congresso Marcuse 7 a 9 de novembro em Lexington.	2013-03-10T18:54:39+0000	4	12	16
265217103529531_518096781574894	photo		2013-03-11T00:01:55+0000	0	0	0
265217103529531_517911728260066	link	Silvio Carneiro_ pra você! ;) http://harlemify.com/?url=www5.usp.br	2013-03-10T14:12:15+0000	2	3	5
265217103529531_518051854912720	status		2013-03-10T21:05:28+0000	0	1	1
265217103529531_518047308246508	link		2013-03-10T20:50:26+0000	0	3	3
265217103529531_516606145057291	link	https://www.facebook.com/events/130583083784648/	2013-03-07T19:50:09+0000	3	1	4
265217103529531_517928031591769	video	http://www.youtube.com/watch?v=L6K8Uq88BEQ	2013-03-10T14:46:39+0000	0	0	0
265217103529531_517927104925195	link	Isaac Asimov - Fundação.__- indicado por Theo Oliveira	2013-03-10T14:43:45+0000	0	3	3
265217103529531_517895804928325	video		2013-03-10T13:43:58+0000	0	3	3
265217103529531_517649221619650	link	http://pt.wikipedia.org/wiki/Crowdsourcing	2013-03-10T03:09:03+0000	1	3	4
265217103529531_517648871619685	link	http://lm.juntadados.org/?p=101	2013-03-10T03:07:20+0000	0	0	0
265217103529531_517427848308454	status	quero lembrar q de sabado è tudo fechado e nao da pra comer___ eu venho as 13_ com a Clo_..._vamos!	2013-03-09T14:04:07+0000	2	3	5
265217103529531_517412571643315	link	mapa de nossas redes - por Renato Fabbri__http://ubuntuone.com/5X7ClzfWXlIz9tUW7ToxBJ	2013-03-09T13:31:06+0000	0	3	3
265217103529531_517007681683804	video	http://www.youtube.com/watch?feature=endscreen&v=58G7_NMhMh4&NR=1	2013-03-08T17:37:22+0000	2	4	6
265217103529531_517229701661602	link	DEsconhecia isso! _el museo nace con la vocación de convertirse en un centro cultural y artístico de referencia para las clases más desfavorecidas_ un lugar que destierre el rancio concepto del museo-búnker solo asequible para los ilustrados._	2013-03-09T05:07:36+0000	0	4	4
265217103529531_517219741662598	link	Somos Brod y Brod_ y ninguno de los dos es Kafka. Este es el Fin del Mundo_ pero ¿quién lo sabe excepto nosotros?”. Lars Iyer describe un mundo literario a la deriva...segundo Enrique VIla-Matas.	2013-03-09T04:28:20+0000	0	2	2
265217103529531_517160275001878	photo		2013-03-09T00:07:24+0000	0	3	3
265217103529531_516850108366228	video		2013-03-08T11:38:02+0000	0	4	4
265217103529531_516609781723594	photo		2013-03-07T19:59:41+0000	1	1	2
265217103529531_516457438405495	link	[TEXTOS] - Formada na UFSCar_ Deborah Antunes (UFC) foi/é membro do Grupo de Pesquisa em Teoria Crítica e Educação (UFSCar; Unesp; Unimep). Desenvolveu pesquisas empíricas e reflexões muito interessantes sobre Bullying e trote universitário_ além de desenvolver um doutorado sobre o papel da pesquisa empírica na teoria crítica. Débora apresentará seus pesquisas na reunião deste sábado: https://www.facebook.com/events/130583083784648/?fref=ts__Segue link com textos: http://ufc.academia.edu/DeborahAntunes/Papers	2013-03-07T13:07:20+0000	0	2	2
