id	type	message	created_time	comments	likes	commentsandlikes
373029202732392_512594222109222	status	http://noticias.uol.com.br/ciencia/ultimas-noticias/redacao/2013/04/08/cientista-reconstroi-som-do-big-bang-ouca.htm	2013-04-09T00:15:10+0000	0	0	0
373029202732392_510513295650648	link	Cadeiras Nóize: design distorcido ruídos captados pela cidade de SP:_http://www.dezeen.com/2012/07/13/noize-chairs-by-estudio-guto-requena/	2013-04-02T15:31:49+0000	1	2	3
373029202732392_512027908832520	status		2013-04-07T08:09:13+0000	0	0	0
373029202732392_511173935584584	link	Ola caros_ criamos uma fan page para o nosso projeto CANVAS de arte tecnologia_ gostaria de ajuda na divulgação entre os interessados em _curtir_ esses conteudos. Desde ja agradeço a compreensão. Abs Felipe Brait ! __https://www.facebook.com/pages/Canvas/113003882225505	2013-04-04T16:27:22+0000	0	2	2
373029202732392_508888472479797	status		2013-03-28T17:48:25+0000	1	1	2
373029202732392_505322766169701	link	http://britishlibrary.typepad.co.uk/archival_sounds/2013/03/aural-history-comes-alive.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+archivalsounds+%28Archival+Sound+Recordings+Project+Blog%29	2013-03-18T19:32:16+0000	0	1	1
373029202732392_505119752856669	photo		2013-03-18T05:18:29+0000	0	2	2
373029202732392_494972450538066	status	Durante 10 anos_ a BBC Radio 3 de Londres viajou por mais de 40 países do mundo com a finalidade de gravar a música local e incluir em seu programa de world music. Agora_ eles estão disponibilizando todo o material do seu programa na internet_ podendo ser baixado gratuitamente.__Nestes documentos sonoros_ contém músicas da India_ China_ Irã_ Brasil_ Moçambique_ Vietnã_ Turquia etc.__Vale a pena dar uma ouvida e umas baixadas! ;-)	2013-02-21T01:12:17+0000	11	22	33
373029202732392_503101309725180	link		2013-03-12T22:58:33+0000	2	2	4
373029202732392_503341496367828	status	_We only hear_ we know nothing._	2013-03-13T16:29:39+0000	0	0	0
373029202732392_503099639725347	status		2013-03-12T22:49:39+0000	0	0	0
373029202732392_503092369726074	status		2013-03-12T22:30:50+0000	0	0	0
373029202732392_502992913069353	status		2013-03-12T17:35:41+0000	0	1	1
373029202732392_501015806600397	status	<3	2013-03-07T14:40:07+0000	1	2	3
373029202732392_499036096798368	status	14 artistas escuchan Madrid	2013-03-03T15:41:57+0000	1	2	3
373029202732392_499293136772664	video	quartosdesom__https://soundcloud.com/dscandurra/john-cagerik-satie	2013-03-04T05:11:47+0000	0	1	1
373029202732392_499234926778485	status		2013-03-04T01:27:16+0000	0	0	0
373029202732392_499034983465146	status		2013-03-03T15:38:45+0000	0	0	0
373029202732392_497896996912278	status		2013-02-28T21:52:13+0000	3	4	7
373029202732392_496875033681141	link	o cara https://olicruz.wordpress.com/2008/08/07/a-mais-completa-entrevista-de-rogerio-duprat/#more-426	2013-02-26T05:59:43+0000	1	2	3
373029202732392_496112100424101	status		2013-02-24T05:21:59+0000	1	1	2
373029202732392_495704243798220	status		2013-02-23T00:26:19+0000	0	0	0
373029202732392_495538610481450	video	http://www.youtube.com/watch?feature=player_embedded&v=MYrPJozmSdg	2013-02-22T15:11:55+0000	1	0	1
373029202732392_495006977201280	status	http://musicforprogramming.net/	2013-02-21T03:50:02+0000	2	4	6
373029202732392_494922270543084	photo		2013-02-20T21:35:00+0000	0	0	0
373029202732392_494315290603782	status		2013-02-19T04:23:14+0000	1	0	1
373029202732392_493436824024962	status		2013-02-16T21:38:07+0000	1	1	2
373029202732392_493824530652858	status	(A Visual Guide to the Mathematics of Music)	2013-02-17T19:16:06+0000	1	1	2
373029202732392_493939787307999	status		2013-02-18T02:12:15+0000	1	1	2
373029202732392_493936937308284	status		2013-02-18T02:00:15+0000	0	3	3
373029202732392_493558267346151	status	https://soundcloud.com/tags/psicoactive	2013-02-17T05:23:38+0000	0	1	1
373029202732392_492985307403447	status		2013-02-15T18:23:45+0000	0	0	0
373029202732392_492937864074858	status		2013-02-15T15:32:19+0000	0	3	3
373029202732392_492568160778495	status		2013-02-14T23:19:36+0000	0	1	1
373029202732392_492541610781150	status		2013-02-14T21:46:58+0000	0	0	0
373029202732392_492143260820985	status		2013-02-13T22:56:23+0000	1	2	3
373029202732392_490632210972090	status	...	2013-02-10T03:48:00+0000	1	4	5
373029202732392_491200637581914	status	un pouco de noise contra o capitalismo e os bancos_ agradecemnos a suas firmas pra evitar 8 anos de carcel por expropiación bancaria de un activista que invertiu todo o dinheiro recaudado de bancos en proxectos socias http://www.change.org/es/peticiones/audiencia-provincial-fiscal%C3%ADa-del-estado-y-14-entidades-bancarias-absoluci%C3%B3n-enric-duran-absolucioenricduran-2 __obrigadas	2013-02-11T14:28:47+0000	1	2	3
373029202732392_490528240982487	status		2013-02-09T23:42:24+0000	0	0	0
373029202732392_490524547649523	video		2013-02-09T23:25:28+0000	0	1	1
373029202732392_490458104322834	status		2013-02-09T19:12:13+0000	0	1	1
373029202732392_490299747672003	status		2013-02-09T12:04:10+0000	0	2	2
373029202732392_489871964381448	status		2013-02-08T13:44:46+0000	0	1	1
373029202732392_489534567748521	status		2013-02-07T18:55:12+0000	1	3	4
373029202732392_489240051111306	status		2013-02-07T01:54:45+0000	0	1	1
373029202732392_489239187778059	status		2013-02-07T01:49:13+0000	0	0	0
373029202732392_487646754603969	status		2013-02-03T00:39:23+0000	3	3	6
373029202732392_476324509069527	link		2013-01-13T21:27:59+0000	2	3	5
373029202732392_488413424527302	status		2013-02-04T23:58:16+0000	1	0	1
373029202732392_487199354648709	status	oq ele tem ouvido por aí..._https://www.youtube.com/watch?v=VjE0Kdfos4Y	2013-02-01T21:00:27+0000	2	3	5
373029202732392_487571664611478	status	Silence	2013-02-02T19:13:52+0000	1	1	2
373029202732392_487319421303369	video	messiaen	2013-02-02T05:00:59+0000	0	1	1
373029202732392_486753014693343	status		2013-01-31T18:00:08+0000	0	2	2
373029202732392_486328548069123	status		2013-01-30T22:50:49+0000	1	4	5
373029202732392_482694815099163	status		2013-01-28T16:29:24+0000	0	1	1
373029202732392_482199555148689	status		2013-01-27T13:58:29+0000	1	1	2
373029202732392_481958018506176	status		2013-01-26T22:17:40+0000	2	3	5
373029202732392_481926311842680	status		2013-01-26T20:58:13+0000	0	1	1
373029202732392_481174341917877	status		2013-01-25T03:07:31+0000	0	0	0
373029202732392_480679011967410	status	http://leonardocardoso.me/2013/01/23/helpful-site-to-get-into-the-physical-attributes-of-sound-hearing/	2013-01-23T23:11:57+0000	0	2	2
373029202732392_479751942060117	status		2013-01-21T22:26:14+0000	1	1	2
373029202732392_478793382155973	status	http://cornelluniversity.tumblr.com/post/40770771576/worlds-largest-natural-sound-archive-now-fully-digital	2013-01-19T17:05:31+0000	1	2	3
