id	type	message	created_time	comments	likes	commentsandlikes
300422056724092_387099818056315	status	Não acredito em Democracia sem reflexão do Capitalismo. Democracia radical é a que temos_ é a Grécia que quebrou.	2013-07-14T14:23:49+0000	3	1	4
300422056724092_387028688063428	status	NÃO PRECISA SER PETISTA_ BASTA TER UM CÉREBRO COM UM MÍNIMO DE INTELIGÊNCIA ... QUE TAL AO INVÉS DE FICAR USANDO O PT COMO BODE EXPIATÓRIO (COMO SE OS OUTROS PARTIDOS FOSSEM TODOS DE SANTOS) COMEÇAR A DEFENDER A DEMOCRACIA DIRETA HEIM?  OU VOCÊS REAÇAS ESTÃO AQUI SÓ PARA TENTAR VENDER A IDEIA RIDÍCULA REFUTADA NA IMAGEM ABAIXO?	2013-07-14T08:32:21+0000	22	13	35
300422056724092_387104721389158	link	http://www1.folha.uol.com.br/cotidiano/2013/07/1310864-empresa-alema-siemens-delata-cartel-em-licitacoes-do-metro-de-sp.shtml	2013-07-14T14:48:31+0000	0	0	0
300422056724092_387103898055907	photo		2013-07-14T14:43:49+0000	0	0	0
300422056724092_387100744722889	link	Ae gente um partido que defende a democracia direta. http://partidopirata.org/	2013-07-14T14:28:40+0000	1	1	2
300422056724092_387099558056341	link	Em minha hipótese_ na lógica dos assaltantes_ a luta de classes é outra. Para eles o mundo é dividido entre OS QUE TÊM COISAS e OS QUE NÃO TÊM COISAS.	2013-07-14T14:22:01+0000	0	0	0
300422056724092_387077164725247	status	about policy_ we have to be realistic_ but I believe in a government scientific model without taxes_ but with strict rules of environmental protection. but it does not interesting to the current owners of the economy. they want the government needs the tax revenue of their firms to depend on them. the government must work to generate employment also. this is not communism. is a form of anarchy. and it_s not utopia because this model applied would lead to a society that could always improve	2013-07-14T12:33:15+0000	3	0	3
300422056724092_387071971392433	status	about policy_ we have to be realistic_ but I believe in a government scientific model without taxes_ but with strict rules of environmental protection. but it does not interesting to the current owners of the economy. they want the government needs the tax revenue of their firms to depend on them. the government must work to generate employment also. this is not communism. is a form of anarchy. and it_s not utopia because this model applied would lead to a society that could always improve	2013-07-14T12:22:46+0000	0	0	0
300422056724092_387058884727075	link	PÁGINA PARA CURTIR E COMPARTILHAR!!! DEZENAS DE INFORMAÇÕES SOBRE POLÍTICA E CIDADANIA!!! TUDO DE FORMA SIMPLES E ACESSÍVEL!!!	2013-07-14T11:40:33+0000	0	1	1
300422056724092_387033064729657	status	www.cddd.vai.la/	2013-07-14T09:03:36+0000	0	0	0
300422056724092_387029351396695	link	Que vergonha!_E chamam isso de democracia... só se  for ao estilo cubano ou venezuelano...	2013-07-14T08:37:22+0000	0	2	2
