id	type	message	created_time	comments	likes	commentsandlikes
222540354541008_310581392403570	link	Com a ampliação dos direitos dos trabalhadores domésticos poderá haver um aumento de desemprego na área?_http://www.franciscocastro.com.br/blog/?p=4039	2013-04-05T22:34:28+0000	0	0	0
222540354541008_309989069129469	photo	PROFECIA DE CASERNA (1)	2013-04-04T11:43:24+0000	3	1	4
222540354541008_310554072406302	status		2013-04-05T21:06:04+0000	0	0	0
222540354541008_310501222411587	link	Precisamos de um novo modelo de economia_ com bases fortes. Esta é uma proposta a partir de uma indicação do amigo Raul Ferreira Bártholo_ de quem espero colaboração.	2013-04-05T17:25:56+0000	0	0	0
222540354541008_310333635761679	photo	COISAS DESSE BRASIL PETRALHA!__O cinismo dessa gente é uma arte...	2013-04-05T10:03:07+0000	0	0	0
222540354541008_309989145796128	photo	PROFECIA DE CASERNA (2)	2013-04-04T11:43:42+0000	0	0	0
222540354541008_309636979164678	photo	O pastor Feliciano de tendencias racistas e homofóbicas é o presidente da Comissão de Direitos Humanos na Câmara Federal. Não é muito estranho e inusitado este fato. Numa oligarquia é normal que seus membros pendam para o elitismo_ o segregacionismo e a nobreza. Qualquer um dos políticos profissionais está predisposto a resolver os assuntos em critérios pessoais ( materiais e ideológicos_ geralmente mais materiais do que ideológico)_ pelo que se distanciam do povo_ parecendo seres superiores_ distintos e intocáveis._No caso do presente deputado_ ele alavanca suas posições_ embora negadas atualmente_ no sentido religioso. _O que mais chama a atenção é a ascensão de grupos radicais religiosos que se denominam evangélicos no Congresso. Se o politico profissional já é uma excrescência na Sociedade_ acrescê-los de superstições e fundamentalismos religiosos a coisa se torna pior ainda_ a ponto de se temer direcionamentos à Teocracia. De fato_ já querem até impor proibições de caráter religioso nos conceitos máximos da Sociedade_ como é o caso de poder impedir junto ao Supremo Tribunal Federal condições laicas nas leis do país._Donde podemos ver até que ponto é perigosa uma oligarquia. Mesmo que comecem com relativa liberdade_ a tendencia é chegarem ao totalitarismo por conta do crescimento de correntes radicais dentro do seu mando. No momento_ o governo para fazê-los aliados tem apoiado todas suas exigências._Diante dessa desgraça à Sociedade_ é que sentimos que a solução imediata é a implantação da democracia com participação direta de todos os cidadãos e a extinção de parlamentos de políticos profissionais.	2013-04-03T14:33:29+0000	0	5	5
222540354541008_309336329194743	link		2013-04-02T18:29:18+0000	0	0	0
222540354541008_309218202539889	photo	SEM VERGONHA_ SOMOS UM PAÍS SEM VERGONHA!____O pior é que ainda aparecem alguns brasileiros para_ por ignorância_ irresponsabilidade_ covardia ou mesmo interesses espúrios_ garantir que está tudo “dentro da normalidade”...	2013-04-02T11:53:41+0000	0	0	0
222540354541008_309204652541244	photo	QUEM DISSE QUE O BRASIL NÃO ESTÁ SE PREPARANDO PARA A COPA DE 2014?__ __Em matéria de _receptivo turístico__ pelo menos_ será show de bola!__ __Alguém tem dúvida de que a “turistada” vai cair de pau?	2013-04-02T10:58:26+0000	0	0	0
