id	type	message	created_time	comments	likes	commentsandlikes
397517003592608_586007714743535	link	Querid@s_ fiz umas imagens desta admirável comunidade. Aqui a rede de amizades: http://ubuntuone.com/0ydq2Os66lzYmCedydJpej sem nomes_ e aqui com nomes: http://ubuntuone.com/2AIqfjRicATdttRqxD5CSA . :-) Espero que gostem e aproveitem. Esta comunidade tem uma topologia bastante particular. :-)	2013-04-14T04:53:35+0000	0	0	0
397517003592608_585991731411800	link	Lambança monumental! Veja o link.	2013-04-14T03:47:46+0000	0	1	1
397517003592608_585986711412302	photo	5 motivos para trabalhar em casa com Hotmart__Dentre tantos motivos_ separamos 5 que são decisivos e muito importantes para todos que almejam trabalhar em casa com Hotmart. Confira e mude sua vida!__http://tudosobrehotmart.com.br/trabalhar-em-casa-com-hotmart/	2013-04-14T03:25:22+0000	0	0	0
397517003592608_585972344747072	photo	_The Crown is according to the saying_ the fountain of honour; but the Treasury is the spring of business_.__Walter Bagehot (1826-1877)_ empresário_ jornalista e ensaísta inglês. Fonte: _The English Constitution_ (1867) - _The Cabinet_.	2013-04-14T02:17:17+0000	0	0	0
397517003592608_585945241416449	status	O Tamanh do BNDES em Gráficos .	2013-04-14T00:28:43+0000	1	2	3
397517003592608_585959391415034	link	http://www.cartacapital.com.br/economia/limites-civilizados/?autor=16__Taxa de juros_10.04.2013 12:26_Limites civilizados_Delfim Netto	2013-04-14T01:29:51+0000	0	0	0
397517003592608_585951834749123	link	http://www.portaldoeconomista.org.br/noticias/25-epicos-anos-de-competitividade.html__25 épicos anos de competitividade__12 de abril de 2013__Valor Econômico__ Por Stéphane Garelli	2013-04-14T00:54:43+0000	0	0	0
397517003592608_585943401416633	link	http://www.fazenda.gov.br/resenhaeletronica/MostraMateria.asp?page=&cod=886603__Economistas estimam Selic estável em abril_ com alta suave em 2013_Valor Econômico - 12/04/2013	2013-04-14T00:19:58+0000	0	2	2
397517003592608_585939688083671	status	vende-se 3 ingressos para get glow_ 150 reais cada umo_inbox	2013-04-14T00:05:41+0000	1	0	1
397517003592608_585936461417327	link		2013-04-13T23:55:43+0000	0	0	0
