id	type	message	created_time	comments	likes	commentsandlikes
264044860368840_352115471561778	link	Please sign this petition directed to Cathryn Ashton EU foreign policy representative__http://www.change.org/en-GB/petitions/cathryn-ashton-high-representative-foreign-affairs-of-european-union-impose-sanctions-upon-israel-until-they-comply-with-the-un-given-borders?utm_source=guides&utm_medium=email&utm_campaign=petition_week_one	2013-03-29T18:04:19+0000	0	1	1
264044860368840_351688958271096	status	Let_s follow and support this great project of the german tech community to build a bridge between Europe and Africa: ___We are a group of developers & designers from Europe and the United States_ curious about the emerging African tech hubs we keep hearing about lately. We decided to explore the African tech communities ourselves in October 2013. We’ll share our impressions with a video documentary. Our goal is to kick off a continuous exchange with tech communities in Africa.___More on http://www.africahacktrip.org/	2013-03-28T10:00:40+0000	6	8	14
264044860368840_352089688231023	link		2013-03-29T16:13:04+0000	0	2	2
264044860368840_352013948238597	status	BACKGROUND_Dr. Varindra Vittachi_ a Sri-Lankan journalist and international civil servant who saved in the UN for many years as Deputy Executive of UNICEF and Assistant Secretary General of the United Nation.  In honor of the noble man_ in June 2001_ the first Varindra Tarzie Vittachi International Youth Conference was held under the theme “Educating the Human Future”. The host was Atlet Century Hotel in Jakarta_ and 250 participants were in attendance from across the glob._Underpinning the conference_ was the focus on creating settings where young people can interact_ share and challenge each other to create an international committed to dynamic life long and experiential learning to face the many challenges. Central to the conference was the recognition of adults that would uplift the spirits of young people through mentorship. _ To date three conferences of such magnitude have been held and the themes were as followed;_a) June 2001      “Educating our Human Future”                             Jakarta_ Indonesia_b) August 2003   “Learning to live Personally Sustainable Life”      Colorado_ USA_c) July 2006        “Rethinking Educational Change”                          Infrane_ Morocco_It is from the above exposure_ experience_ training and mentorship that Mr. Munyaradzi Muzenda an active youth worker from Zimbabwe was inspired to implement the project called AFRICA SPEAKS. Mr. Hugh Lynn_ of New Zealand and who was a staff member during the Vittachi Conference has been mentoring and standing by Mr. Muzenda’s country and regional projects ever since. _Mr. Muzenda has been enabled to Network with all the SADC and Eastern African nations through which Africa Speaks has created a resource of leadership and resourceful creative arts programs. Africa Speaks focuses on building awareness among young people in Africa and in the Diaspora to celebrate being African and envision the beauty_ heritage and sustaining the future of Africa. _The main objectives of Africa Speaks are;_a) To market and promote the beauty_ heritage and cultures of Africans using the gifts and the an untapped talents of its young people._b) To deal with prejudices conduct awareness_ and convince the world about the true reality of the African Continent._c) To develop and record an accurate African story as seen in the eyes of its young men and women._d) To facilitate Enterprise Development Programs among young people in Africa.__With the support from Mr. Hugh Lynn_ a mentor_ and resource mobilization by country leadership_ six events have been held has followed;_a) October 2001      “1st Africa Speaks Conference”                                      Great Zimbabwe_ Masvingo_b) September 2002  “Strategic Planning Workshop”                                  Kariba_ Zambia/Zimbabwe_c) July 2004             “Applying Best Practices in Cotton Production”          Mumbwa_ Zambia_d) December 2004      “2st Africa Speaks Conference”                                Marondera_  Zimbabwe_e) March 2013              “Moving Arts Planning  Meeting”                          Lusaka_ Zambia_f) March 2013             “The Power of Moving Arts in Leadership”             Matero_ Zambia_ The driving force for Africa Speaks is the works of Guerrand Hermes Foundation for Peace_ Dr. Varindra Vittachi_ Dr. Kwame Nkrumah_ Dr. Kenneth Kaunda_ Mr. Nelson Madiba Mandela_ Professor Mazoroi_ and many such activists_ revolutionaries who made Africa be rebated and  protected from extinction of its cultures_ beliefs and values. _ISSUE ANALYSIS_Recent years have witnessed dramatic changes and influences in the lives of young people in Africa_ as elsewhere in across continents. Changes in livelihoods_ cultural practices_ technology transfer_ and shifts in the nature of family and intimate relationships_ have combined to make transitions to adulthood more diverse_ complex and unequal than in previous generations. The negative impact on these developments needs governments to respond efficiently and effectively to the needs of young people. _The changing experiences of youth has contributed to the transformation in ways of thinking about and organizing services and programs for young people. As out lined in the Commonwealth Youth Policy_ The UNESCO_ the National Youth Policies and the Youth Chatters all advocate for the participation and embracing the rights of young people as key elements of the world development equation. For example_ the African Youth Chatter does not only provide the Governments_ Youth_ and Civil Society and International Partners with continental framework_ which underpins the rights_ duties_ and freedoms of youth. It also paves the way for development of national programs and strategic plans for youth empowerment. _However_ Africa Governments have had challenges to meeting all the needs of young people due to numerous factors. These factors arise from such influences as changes in the political landscape_ inadequate human resources_ inadequate resources to reach all the needs of young people_ corruption and many others.  _Young people have continued to lead impoverished livelihoods. The situation of young people is a breathing social volcano that will soon or later explode to an uncontrollable scale. Africa Speaks is determined to contribute to African Governments strategies to engage young people in productive programs that will use Art and Cultural promotions as a vehicle to sustainability and uplifting the African spirit of belonging and existence. The promotion of MOVING ARTS will review the untold story of Africa._THE PROJECT__The main purpose of Afrika Speaks International Moving Arts_ Festival_ Exhibition and Celebrations PROJECT  is to cover African countries “affectionately to be known as The African Adventure”_ targeting  Uganda_ Kenya_ Tanzania_ Zambia_ Zimbabwe_ Botswana and South Africa.__TARGET__Young people of Africa__THE OBJECTIVES__1)  To market and promote the natural beauty_ heritage and culture of Africa and its people.__2)  To identify_ develop and promote skills and talents among the African young people so that they   _      Can reach their full potential.__ Key result areas:__(i) To promote an enabling environment that allow young people globally grow towards their full potential_(ii) To identify and promote talent amongst young people in Africa_(iii) To develop and document professionally the true African story._(iv) To develop and strengthen relationship_ friendships and partnership at all 3 levels(individual_ country and continent)_(v) To foster unity_ peace_ dialogue and understanding between Africa and the rest of the World._(vi) To exchange information and share experiences between Africa_ Europe and Asia._(vii) To deal with real life issues_ and challenges facing visionaries_ talented and gifted young people and the continent at large_(viii) To turn stories_ visions and dreams into potent_ accessible_ large scale live ad media performances that entertain while also affecting/touching the minds and souls of young and adults audiences_(ix) To nurture youth talents and voices_ by providing them will tools to speak the unspoken side of Africa_ address issues of relevance to them and all of us.__PROJECT PHYLOSOPHY__Africa Nations need to develop and showcase a true African Story and a Journey based on the following key points/headlines/topics as young people tour selected countries in which poets_ musicians_ story tellers_ photographers_ short documentaries etc. must produce cultural products focusing on the following:__a) The rich natural beauty_ heritage and culture of the African continent_b) Gentleness and humility of the African people _c) Beauty and wealth of African Arts and culture_d) Vibrancy and energy of the African Youth_e) Abundance of natural resources_f) Immensity of the potential of the Africa_g) A united people	2013-03-29T09:49:22+0000	0	1	1
264044860368840_351989884907670	link	Game for change?	2013-03-29T07:31:22+0000	0	4	4
264044860368840_351058425000816	link	In a week Living Bridges Talk. First tuesday every month. Informal and a lot of learning.  _Bridging the networks_	2013-03-26T10:56:27+0000	6	21	27
264044860368840_351702921603033	photo		2013-03-28T11:21:22+0000	0	3	3
264044860368840_351696038270388	photo	As facilitator of a community its vital to be a good listener.__ater	2013-03-28T10:44:15+0000	0	4	4
264044860368840_351686278271364	link	Its all about Social Capital!! ___Telling people how to collaborate is rarely beneficial_ but identifying a set of behaviors that deliver benefits for the organization can help everyone align on how your ESN should be used. The following behaviors are basic tenants of a healthy ESN deployment___Transparency_Reciprocity_Respect_Symbiosis_Serendipity	2013-03-28T09:37:45+0000	0	10	10
264044860368840_351654394941219	link	Postnormal era will start to transform also the firm - employee relationships. In this blog two professors of INSEAD are wondering why _... the basic structure of the firm-employee relationship has not changed much over the last 50 years_ - - a great question!!_http://blogs.hbr.org/cs/2013/03/liberate_your_employees_and_re.html?utm_campaign=Socialflow&utm_source=Socialflow&utm_medium=Tweet	2013-03-28T06:11:41+0000	0	4	4
264044860368840_351605931612732	link		2013-03-28T03:01:43+0000	0	0	0
264044860368840_351528191620506	status	Hi Loving people_ thanks for your help doing my staying in Sweden. Am presently in Liberia and happy with my two children_ they also extend their greetings and thanks to you people.	2013-03-27T19:38:35+0000	3	2	5
264044860368840_351236094983049	status	Many thanks to all my FB Friends and Group members for your patience while I managed the situation of an impostor account. I_m pleased to say the matter has now been resolved and look forward to re-Friending those whom I Unfriended for your protection. Hats off to Nick in FB Advertising Sales - the only live body I was able to reach at FB. He makes me want to buy ads as an act of gratitude. Thanks again_ all.	2013-03-26T22:22:27+0000	6	9	15
264044860368840_351497268290265	status	#Women #entrepreneurs lead 1 of 5 startups worldwide per new report from Gust http://t.co/b66E0scpR4 Let_s rock on_ girls!	2013-03-27T17:02:12+0000	0	1	1
264044860368840_351375238302468	link	My new blog published_ please have a look._http://karostech.fi/coworking-a-gimmick-or-the-real-solution-for-future-challenges/	2013-03-27T09:27:02+0000	3	4	7
264044860368840_351455698294422	photo	Lifelong Learning Foundation invites you to remember a compassionate architect....British born lived in Kerala_ INDIA....and worked for ordinary people building low-cost_ nature-friendly homes_ using locally available materials.......	2013-03-27T15:27:13+0000	1	2	3
264044860368840_351452018294790	photo		2013-03-27T15:12:20+0000	0	1	1
264044860368840_351421208297871	video	Manuel Castells see the potential in bridging the Virutal and Local space	2013-03-27T13:12:14+0000	2	9	11
264044860368840_351347478305244	photo	A TRULY IMPORTANT TOPIC TO DISCUSS AND DISCLOSE____I forward you a brilliant article published here in Portugal_ I just translate. I ask you to disclose it by your friends because it_s something we need to discuss openly to end the financial dictatorship that ruled Europe. Thank you!	2013-03-27T06:27:29+0000	2	2	4
264044860368840_351399024966756	link	Important to track relative to future of money & commons. cc Irma Wilson Goodnews Cadogan	2013-03-27T11:49:59+0000	0	1	1
264044860368840_351379868302005	link	Support Small And Medium Entreprise to Growth Up. Healty Food for Our Life. In www.rumahmakanbentuwuk.wordpress.com	2013-03-27T10:00:30+0000	0	1	1
264044860368840_351253358314656	video	what_s your opinion about the The Future of the Economy ?	2013-03-26T23:48:39+0000	0	1	1
264044860368840_351216111651714	photo		2013-03-26T20:54:35+0000	0	4	4
264044860368840_351118124994846	status		2013-03-26T14:56:27+0000	1	5	6
264044860368840_351103561662969	link	FINAL CALL-If you are going to Africa with @geeksgoneglobal and have not confirmed call 404-419-6460 ext108 today http://ow.ly/jqsfU	2013-03-26T13:55:42+0000	0	2	2
264044860368840_351087688331223	link	Come and join us to better understand the possibilities about tomorrow work-shifting !	2013-03-26T12:41:32+0000	0	3	3
264044860368840_351023455004313	status	Have you registered for Your Big_Year competition ? Do it today & use_1443 as your referal Id on_www.worldmerit.org/your-big-year	2013-03-26T06:50:55+0000	2	2	4
264044860368840_350917298348262	video	The world needs to know...!	2013-03-25T21:01:21+0000	1	3	4
264044860368840_350897381683587	status	Come to learn NonViolent Communication in an eco-farm next to the Garda_s Lake with Robert Krzisnik! Registrations open for 1_2_3 of June!	2013-03-25T19:51:08+0000	0	3	3
264044860368840_350798421693483	link	Brilliant article! _If you want to change the world_ start with a tribe.  Look to find people who are passionate rather than influential.___Thxfs John Hagel	2013-03-25T13:21:14+0000	2	19	21
264044860368840_349444905162168	link	Social Entrepreneurs need to think locally as well as globally	2013-03-21T11:01:26+0000	4	23	27
264044860368840_350765651696760	link	Living Bridges are all about planting seeds . . . http://exp.lore.com/post/45920267351/from-planting-seeds-to-the-internet-how	2013-03-25T11:46:24+0000	1	7	8
264044860368840_350736298366362	status	Results Are In for the Inaugural Global Healthy Workplace Awards and Summit http://www.i-genius.org/news/index.php/id/374 #ghwawards	2013-03-25T11:29:01+0000	0	3	3
264044860368840_350730688366923	status		2013-03-25T10:54:02+0000	0	1	1
264044860368840_350651265041532	status	Morning to all my good People; I_m leave Sweden today for Liberia_ Just want to say thanks to every one that got connected to me and hope that our connective relationship will help us score both impact according to our goals. Am going to miss all of you and hope we meet again some day._Thanks with so much LOVE	2013-03-25T05:17:45+0000	0	3	3
264044860368840_350396241733701	link	Read my latest blog _Everything is blooming recklessly_ and post comments there about what you are doing that is a new blossoming for you.	2013-03-24T14:48:35+0000	5	3	8
264044860368840_350541365052522	photo	gnight *	2013-03-24T22:25:54+0000	0	1	1
264044860368840_350484901724835	video	New form of Education based on Real Experiences rather than theory is taking place in Brasil_ we are almost ready to present the model and the location assigned._Keep in touch !	2013-03-24T18:44:00+0000	2	3	5
264044860368840_350512228388769	status	March 28__With _Neeraj Bhatia_ Executive Director_ Member of the Board_ Bank of India Ltd_ India __Herman Mulder_ Chairman of the Global Reporting Initiative - GRI_ impact investor_ the Netherlands _Impact Investing as key driver for new-style International Development Cooperation __Giuseppe van der Helm_ Executive Director_ Dutch Association of Investors for Sustainable Development (VBDO)_ President_ Eurosif (European Sustainable Investment Forum)_ the Netherlands _Impact investment: investing in your mission_ delivering more than financial returns __Maximilian Martin_ Founder and Managing Director of Impact Economy SA_ Switzerland _Mainstreaming Impact Investing: What Are The Levers? __https://www.facebook.com/events/316536538469657/	2013-03-24T20:15:47+0000	0	2	2
264044860368840_350484045058254	video		2013-03-24T18:39:35+0000	0	1	1
264044860368840_350422215064437	link		2013-03-24T15:48:46+0000	1	2	3
264044860368840_350334878406504	photo	Please visit us online at : http://www.goodwillsocialworkcentre.org.____Become a partner of Goodwill Social Work Centre and support our causes!	2013-03-24T10:06:50+0000	4	2	6
264044860368840_350172328422759	photo	FREE Call Today & Every Saturday At 12 Noon Hawaiian Time (10 PM GMT)__My friends Emmanuel Bombardier & Isis Wilkinson are the cofounders of The Intention Call!!!___If ONE person has the power to change everything_ Imagine what HUNDREDS and even THOUSANDS of Individuals simultaneously intending have the Power to CREATE!_	2013-03-23T19:26:07+0000	0	1	1
264044860368840_350055378434454	link		2013-03-23T10:53:00+0000	0	1	1
264044860368840_349981885108470	link	Children_s rights not a top CSR priority_ Unicef research reveals_http://kaushik-sustainability.blogspot.com.au/2013/03/childrens-rights-not-top-csr-priority.html	2013-03-23T02:28:30+0000	0	1	1
