id	type	message	created_time	comments	likes	commentsandlikes
273920112651402_519400681436676	photo	VISITE O GRUPO DO PROJETO OMO ILÚ __GRUPO CRIADO PARA A COMUNICAÇÃO_ SOCIALIZAÇÃO DE INFORMAÇÕES E DIVULGAÇÃO DO PROJETO OMO YLÚ_ O ENCONTRO DOS FILHOS DO TAMBOR__PRÊMIO INTERAÇÕES ESTÉTICAS - RESIDÊNCIAS ARTÍSTICAS EM PONTOS DE CULTURA 2012__ARTISTA: BENEDITO LUIZ AMAURO  -  MESTRE LUMUMBA__PONTO DE CULTURA: ASSOCIAÇÃO DO CULTO AFRO ITABUNENSE__Endereço do grupo: __OMOILU@groups.facebook.com__http://www.facebook.com/groups/OMOILU/	2013-03-08T03:09:54+0000	0	0	0
273920112651402_519271008116310	photo		2013-03-07T21:11:45+0000	1	0	1
273920112651402_519279241448820	swf		2013-03-07T21:36:28+0000	0	0	0
273920112651402_519274434782634	photo	Se vc quer participar do Primer Congreso Latinoamericano De Cultura Viva Comunitaria em La Paz e ainda não sabe como_ fica aqui uma ótima dica: O Ponto de Cultura Nina Em Rede e a UniCult - Universidade das Culturas transmitem AO VIVO amanhã_ a partir das 14 horas um workshop de como se inscrever para o Edital de Intercâmbios do MinC_ cujas inscrições encerram-se dia 12 de março. Depois dessa_ só não vai quem não quer! Hasta mañana!	2013-03-07T21:19:18+0000	0	2	2
273920112651402_519266828116728	link	MP realizará na sexta-feira audiência pública sobre participação popular e gestão democrática da cidade__http://www.mp.sp.gov.br/portal/page/portal/noticias/publicacao_noticias/2013/marco_2013/MP%20realizará%20na%20sexta-feira%20audiência%20pública%20sobre%20participação%20popular%20e%20gestão%20democrática%20da%20cidade.pdf	2013-03-07T20:56:51+0000	0	0	0
273920112651402_519252331451511	photo	CNPC_Ministra Marta Suplicy participa da reunião de posse dos novos conselheiros_Na manhã desta quarta-feira (6)_ a ministra Marta Suplicy participou da 18ª Reunião Ordinária do Conselho Nacional de Política Cultural (CNPC)_ em Brasília. O evento_ presidido pelo Secretário-Geral do CNPC_ João Roberto Peixe_ abriu os trabalhos do colegiado em 2013_ deu posse e apresentou os novos conselheiros eleitos pela sociedade civil à ministra da Cultura.__Em seu discurso de boas-vindas a ministra Marta frisou a responsabilidade de cada conselheiro e apresentou as principais ações do Ministério da Cultura (MinC). “Vocês têm uma representatividade ampla e carregam a grande responsabilidade de cuidar da nossa Cultura. O Governo está focado no social e o Sistema MinC tem como objetivo o acesso do cidadão à Cultura”_ disse.__Marta Suplicy apontou como um dos principais avanços da área cultural o Sistema Nacional de Cultura (SNC). “Com ele as políticas culturais não serão afetadas pelas trocas de governo_ formando uma efetiva Política de Estado para a Cultura”_ afirmou a ministra. O SNC passou a fazer parte do arcabouço jurídico brasileiro com a promulgação da Emenda Constitucional nº 71/2012.__Outro programa apresentado pela ministra como um divisor de águas foi o Vale-Cultura – benefício de R$ 50 mensais aos trabalhadores de carteira assinada que recebam até cinco salários mínimos_ para o consumo de bens culturais. A ministra chamou os conselheiros a apresentarem sugestões para ajudar na regulamentação do benefício_ que passará a valer no segundo semestre. “Queremos saber o que o trabalhador quer assistir_ ouvir_ ler_ comprar. Precisamos que a população experimente_ descubra o que mais gosta e consuma Cultura”_ disse ela.__Os Centros de Artes e Esportes Unificados (CEUs)_ os projetos para Copa do Mundo de Futebol_ e os Editais para Criadores e Produtores Negros também foram citados por Marta Suplicy como ações assertivas do MinC no eixo social de trabalho da presidenta Dilma Rousseff.__A reunião do CNPC continua nesta quinta-feira (7) e terá como pauta a apresentação do Regimento Interno da III Conferência Nacional de Cultura aos conselheiros.__CNPC__O conselho é um órgão colegiado integrante da estrutura do Ministério da Cultura. Sua finalidade é propor a formulação de políticas públicas_ com vistas a promover a articulação e o debate dos diferentes níveis de governo e a sociedade civil organizada_ para o desenvolvimento e o fomento das atividades culturais no território nacional.__O conselho é composto por representantes de 17 áreas culturais: arte digital; arquitetura e urbanismo; design; artesanato; patrimônio material; patrimônio imaterial; culturas afro-brasileiras; arquivos; artes visuais; circo; culturas populares; culturas indígenas; dança; moda; música; teatro; e livro_ leitura e literatura.__Saiba mais <http://www.cultura.gov.br/cnpc/>__(Texto: Lara Aliano_ Ascom/MinC)	2013-03-07T20:27:12+0000	0	1	1
273920112651402_519248668118544	photo		2013-03-07T20:14:02+0000	0	1	1
273920112651402_519217868121624	photo	O Fora do Eixo se reuniu hoje com o vice-presidente da Comissão da Cultura e a ONG Contato.	2013-03-07T18:27:07+0000	0	1	1
273920112651402_519176271459117	link	Tarde de domingo com o poeta_ compositor e sambista Toinho Melodia !!!_Roda de samba na laje do Espaço Urucum._#SAMBADUBOM#_https://www.facebook.com/events/131156267062492/	2013-03-07T17:45:01+0000	0	1	1
273920112651402_519091044800973	link	Vamos nessa raridades? Esta chegando a hora de decolar o Hangar 14Bis no aeroporto de Americana. Comemorando o primeiro ano de RockSteady Festival com Expresso 411 e Stop Four.	2013-03-07T16:41:59+0000	0	0	0
273920112651402_518258291550915	link	As Praças são de todo mundo!	2013-03-06T01:05:47+0000	1	0	1
273920112651402_518717431505001	status	Uma breve restrospectiva de artigos recentes sobre as politicas culturais.__“Não há crise na música_ o que existe é a crise das gravadoras” (Analise das políticas e conflitos setoriais da música brasileira)_Carlos Minuano_Cultura e Mercado (SP)_http://www.culturaemercado.com.br/noticias/“nao-ha-crise-na-musica-o-que-existe-e-a-crise-das-gravadoras”-diz-relator-do-plano-setorial-de-musica/__Mérito no julgamento de projetos nas leis de incentivo à cultura (ensaio sobre as relações de poder e significados estruturais das leis de incentivo a cultura)_Portal Vermelho_http://www.vermelho.org.br/noticia.php?id_secao=11&id_noticia=190855__Universalização dos serviços culturais ainda é um desafio para o Brasil_Por Guilherme Reis_Brazilian Post (Londres)_http://brazilianpost.co.uk/30/08/2012/cultura-para-poucos/__Inclusão social e a universalização do acesso à cultura_Entrevista com Manoel J. de Sousa Neto_Por Carol Proner_(especial para o blog Luis Nassif )_http://www.advivo.com.br/blog/luisnassif/inclusao-social-e-a-universalizacao-do-acesso-a-cultura__Politica Cultural em Curitiba:_Luiz Claudio Oliveira - Política pública de Cultura 5. Política pública de cultura de Curitiba_ com Manoel J. De Souza Neto._Gazeta do Povo_http://www.gazetadopovo.com.br/blog/sobretudo/?id=1320804&tit=politica-publica-de-cultura-5--mais-opiniao-para-o-debate__Incêndio em Boate em Santa Maria (RS) não é fato isolado (Analise sobre o Setor de Eventos):_Revista Fórum *(Forum Mundial Social)_http://revistaforum.com.br/blog/2013/01/incendio-em-boate-em-santa-maria-rs-nao-e-fato-isolado/	2013-03-07T00:57:56+0000	0	0	0
273920112651402_518705784839499	photo	A uma cultura desprezada_ só lhe resta o caminho da transformação	2013-03-07T00:00:56+0000	0	0	0
273920112651402_518221374887940	status	▣CLUB PIASSA®__Hugo Chaves - Biografia__▣CLUB PIASSA® https://www.facebook.com/groups/Clube.Piassa	2013-03-05T22:58:14+0000	0	0	0
273920112651402_518217794888298	status	l	2013-03-05T22:47:50+0000	0	0	0
273920112651402_518193358224075	status		2013-03-05T21:20:50+0000	0	1	1
273920112651402_517393914970686	link	Na Paraíba!	2013-03-04T21:22:35+0000	2	2	4
273920112651402_518130324897045	link	Inscrição de trabalhos no I Encontro Brasileiro de Pesquisa em Cultura - o encontro aceitará trabalhos acadêmicos e não acadêmicos! Prazo para inscrições: 15/04.	2013-03-05T18:02:30+0000	0	3	3
273920112651402_518112001565544	status	CONVITE CHAPA BERRO!_PARTE II_ _DISCUSSÃO SOBRE UM PRÉ PLANO DE CHAPA PARA A DIRETORIA DA COOPERATIVA PAULISTA DE TEATRO_ _COMPANHEIROS E COMPANHEIRAS_ COOPERADO(A)S_ FAZEDORE(A)S DE TEATRO DO ESTADO DE SÃO PAULO_ CONFORME DEFINIDO NO NOSSO ÚLTIMO ENCONTRO_ SEGUNDA-FEIRA DIA 11 DE MARÇO TEREMOS MAIS UMA RODADA DE CONVERSA PARA DISCUTIRMOS UMA PROPOSTA DE PRÉ PLANO DE CHAPA - GESTÃO DA COOPERATIVA PAULISTA DE TEATRO 2013/ 2015._ _DATA: 11 de março de 2013 às 20h._ _LOCAL: Espaço Pyndorama – Rua Turiassú_ 481 – Perdizes_São Paulo (Próximo ao metrô Barra Funda)_INFORMAÇÕES: 11 3871-03732 ou 98121-6554_ _QUEREMOS MUITO ENCONTRAR O(A)S PARCEIRO(A)S PARA CONVERSAR E DEBATER ALGUMAS PROPOSIÇÕES._ _A ELEIÇÃO DO NOVO CONSELHO ADMINISTRATIVO OCORRERÁ NO DIA 25 DE MARÇO._ _CHAPA BERRO:_Adailton Alves – Buraco d_ Oráculo__Aiman Hammoud – Cia. Fraternal de Artes e Malas Artes__Fábio Resende – Brava Companhia__Fernanda Azevedo – Kiwi Companhia__Osvaldo Pinheiro - Cia. Estável__Raquel Rolo – Trupe Olho da Rua_ _Thiago Vasconcelos – Cia. Antropofágica._ _Contamos com seu apoio militante para fazermos uma boa discussão e uma excelente campanha._ _AGUARDAMOS SUA PRESENÇA!!!_ _Entrada livre à todo(a)s!!!	2013-03-05T16:50:13+0000	0	0	0
273920112651402_518106788232732	photo		2013-03-05T16:35:10+0000	0	0	0
273920112651402_518068771569867	link		2013-03-05T14:19:36+0000	0	0	0
273920112651402_518051851571559	photo	Terminou ontem o Encontro da Unicult na Escola de Comunicação da UFRJ.	2013-03-05T13:23:58+0000	0	0	0
273920112651402_517490814960996	link	CONFIRA A SITUAÇÃO DE SEU MUNICÍPIO!!!__http://blogs.cultura.gov.br/snc/2012/10/08/acordo-cooperacao-federativa/	2013-03-05T03:11:54+0000	0	2	2
273920112651402_517488681627876	status		2013-03-05T03:05:35+0000	0	0	0
273920112651402_517411554968922	photo	Percursos a Leste	2013-03-04T22:26:03+0000	0	0	0
273920112651402_517270578316353	photo	Hoje tem Audiência Pública na Câmara Municipal de São Carlos_ com a presença do Secretário Municipal de Habitação e Desenvolvimento Urbano_ Sr. Caio Graco_ para debater o cancelamento do Grito Rock na cidade.__Confirme presença: http://on.fb.me/15taQjQ	2013-03-04T14:39:19+0000	0	0	0
273920112651402_517083041668440	photo	Pasta Foto do nosso Fórum Ponto de Cultura RS  e do Teia RS em São Leopoldo - 2012.	2013-03-04T04:24:05+0000	0	0	0
273920112651402_516850871691657	link	Seminário de Internacional sobre Sistemas de Informações e Acervos Digitais - 11 a 13 de março de 2013 - Brasiliana USP__http://culturadigital.br/acervosdigitais/	2013-03-03T14:30:41+0000	1	4	5
273920112651402_516981811678563	link	Curta e voe alto com a gente.__https://www.facebook.com/pages/REDE-PIPA/291005070944307?fref=ts	2013-03-03T21:53:07+0000	0	0	0
273920112651402_515780161798728	link	O ato de defender uma causa_ não é motivo de represália._http://naovotonulo.wordpress.com/2013/02/19/eu-apoio-yoani-sanchez-e-quero-assistir-o-documentario-aqui-tem-uma-tucana-presente/	2013-02-28T18:36:45+0000	4	0	4
273920112651402_516698048373606	video		2013-03-03T04:22:44+0000	0	0	0
273920112651402_516650745045003	link	Pequeno Príncipe lança vídeo sobre direitos da criança e do adolescente__http://garantiadedireitos.blogspot.com.br/2013/03/o-hospital-pequeno-principe-produziu.html	2013-03-03T00:30:36+0000	0	0	0
273920112651402_516578525052225	photo		2013-03-02T19:54:49+0000	0	2	2
273920112651402_516478278395583	video	http://vimeo.com/60088006_OFICINA- ULTIMAS VAGAS_Estética do Oprimido: SOM / RITMO com: Bárbara Santos e Till Baumann_A sonoridade da voz_ do corpo_ de objetos e de suas combinações rítmicas na produção de Teatro-Fórum. Experiência estética de percurso não-verbal que oferece alternativas inovadoras para a prática do Teatro do Oprimido _De 05 a 08 de Março de 2013_  das 10h às 18h._Eventos públicos: 08 e 09 de Março.  Local a definir. Idiomas: Português / Español  Contato para inscrições: moniquerodrigues@ctorio.org.br	2013-03-02T14:11:05+0000	0	2	2
273920112651402_516409278402483	link	http://senojr.blogspot.com.br/2013/03/choque-de-civilizacoes-x-direitos.html#links	2013-03-02T10:24:17+0000	0	0	0
273920112651402_516270238416387	photo	Amanhã Grito Rock Uruaçu 2013 - Vamos marcar presença!!! às 18:00hs_ na feira coberta entrada franca!! o bicho vai pegar!!	2013-03-02T00:38:04+0000	0	0	0
273920112651402_516199491756795	link	Olá a todos___não sei alguém daqui conheceu_ mas criei e administrei a página Histórias do Rio_ que publicava_ sobretudo_ fotos antigas cariocas. A página chegou a mais de 50 mil seguidores_ mas_ infelizmente_ foi hackeada. Por conta disso_ criei uma nova página_ com o nome Rio de Histórias. Espero que curtam!__www.facebook.com/riodehistorias	2013-03-01T19:56:55+0000	0	0	0
273920112651402_516176321759112	photo	BARRAM O DIREITO A OCUPAÇÃO DO ESPAÇO PÚBLICO NA PRAÇA CORONEL SALLES.__Falta de respeito por São Carlos! Estão todos convocados para Audiência Pública_ HOJE_ na Câmara Municipal de São Carlos as 19h!	2013-03-01T18:40:37+0000	0	1	1
273920112651402_516146571762087	link		2013-03-01T16:46:02+0000	0	0	0
273920112651402_516137655096312	video	Começa amanhã_ sábado 11h - Vila Formosa__Curso de Tambores Iniciante - Djembês e Dununs - Ritmos da Guiné	2013-03-01T16:14:46+0000	0	2	2
273920112651402_516087308434680	photo	Estão todas e todos convidadas/os!	2013-03-01T14:04:52+0000	0	0	0
273920112651402_515845778458833	status	Se te sobra um tempinho... Leia essa matéria_veiculada na Revista Virtual Folha do São Francisco_ que fala sobre os desmandos do Prefeito Julio Lossio em Petrolina Pernambuco_ menosprezando as manifestações artísticas e culturais da cidade. A matéria mostra ainda um pouco da luta dos trabalhadores da Cultura_ que há anos sonham com uma Política Pública Cultural digna e bem definida. (IN)FORME-SE! Compartilhe_ se possível!	2013-02-28T22:28:16+0000	0	0	0
273920112651402_515836178459793	video	Divulgando nosso trabalho_ de resgate da Folia de Reis de Diadema S.P	2013-02-28T21:58:11+0000	0	0	0
273920112651402_515776125132465	status	Raymundo Salles não comparece a encontro marcado com grupo Cultura Viva_ que organizará ato dia 16 na Cel. Oliveira Lima	2013-02-28T18:22:31+0000	0	1	1
