id	type	message	created_time	comments	likes	commentsandlikes
318333384951196_346658712118663	link	queridos_ um presentindo para este admirável grupo. Fiz umas figuras deste grupo. Sem nomes: http://ubuntuone.com/7RzqFO6JSe9pq404a9dyf9 e com nomes: http://ubuntuone.com/7X07ta45RginoEGW0LMz6B_Espero que gostem e aproveitem :-)	2013-03-02T08:48:02+0000	0	0	0
318333384951196_346658375452030	photo		2013-03-02T08:46:14+0000	0	0	0
318333384951196_346633988787802	status		2013-03-02T06:48:14+0000	0	0	0
318333384951196_346598145458053	photo		2013-03-02T04:39:55+0000	0	2	2
318333384951196_346579728793228	photo		2013-03-02T03:25:26+0000	0	0	0
318333384951196_346514538799747	status		2013-03-01T23:00:07+0000	0	0	0
318333384951196_346451645472703	photo	This photo was taken.	2013-03-01T20:25:38+0000	0	4	4
318333384951196_346422705475597	link	http://icinema.edu.au/	2013-03-01T19:15:14+0000	0	5	5
318333384951196_346414048809796	link	http://www.fondation-langlois.org/html/e/index.php	2013-03-01T18:46:10+0000	0	2	2
318333384951196_346413588809842	link	http://www.fondation-langlois.org/digital-snow/	2013-03-01T18:44:33+0000	0	1	1
318333384951196_346413278809873	link	http://www.newmediacaucus.org/wp/resources/listing-of-publications/	2013-03-01T18:43:37+0000	0	1	1
318333384951196_346294675488400	link	http://www.4shared.com/office/ObzhFzdd/a_dorfman__a_mattelart_-_para_.html	2013-03-01T14:37:45+0000	0	2	2
318333384951196_346289682155566	photo		2013-03-01T14:20:35+0000	0	1	1
318333384951196_346166985501169	photo	En Route #1	2013-03-01T07:03:56+0000	0	5	5
318333384951196_346150815502786	photo		2013-03-01T05:24:29+0000	0	0	0
318333384951196_346148735502994	photo	performance.	2013-03-01T05:14:01+0000	0	2	2
318333384951196_346141922170342	video		2013-03-01T04:41:39+0000	0	3	3
318333384951196_346096912174843	link	A menudo mal utilizadas_ desacreditadas y subestimadas_ pero también sobrevaloradas y falsamente aduladas_ las palabras_ en estos tiempos de redes sociales y emoticones_ no parecen estar viviendo su mejor momento. Desde la forma de encasillar las relaciones en los perfiles de Facebook_ que se pueden liquidar con un simple “es complicado” hasta las homeopáticas potencialidades de los mensajes de Twitter_ la variedad lingüística se está enfrentando a un inédito empobrecimiento_ que aún no está bien claro si se puede atribuir a una especie de neo-analfabetismo digital funcional_ en una era en la que los nativos digitales están más atraídos por las emociones en 140 caracteres_ que por los libros. A partir de estas reflexiones y de la voluntad de redescubrir el valor intrínseco de las palabras_ surge Word Market_ un proyecto artístico en Internet de Belén Gache_ una escritora hispano-argentina afincada en Madrid_ que desde 1996 se dedica a la creación de literatura hipermedia y poesía conceptual.	2013-03-01T03:49:54+0000	0	2	2
318333384951196_346057155512152	status	http://4smallcinemas.ufsc.br/2013/01/30/call-for-papers-english/	2013-03-01T02:29:32+0000	0	0	0
318333384951196_346045375513330	photo		2013-03-01T01:53:35+0000	0	1	1
318333384951196_346027838848417	photo	A semiótica das r e d e s da (do s ) capita(l)is são élos en cadeados ( Narrativa encadeada no tempo ) com Senhas na Ruidocracia _ (2222222222222222222222222222	2013-03-01T00:42:51+0000	0	2	2
318333384951196_345975128853688	status	Quisiera comentar tantas cosas pero me encuentro ocupado buscando un pendrive extraviado.	2013-02-28T21:09:51+0000	0	0	0
318333384951196_345974518853749	link	http://es.tinychat.com/tranzmidias	2013-02-28T21:08:08+0000	0	0	0
318333384951196_345949322189602	photo		2013-02-28T19:40:33+0000	0	3	3
318333384951196_345949265522941	photo		2013-02-28T19:40:08+0000	0	2	2
318333384951196_345856872198847	photo		2013-02-28T14:44:04+0000	0	3	3
318333384951196_345717955546072	photo		2013-02-28T08:47:49+0000	0	3	3
318333384951196_345717448879456	photo		2013-02-28T08:45:03+0000	0	2	2
