id	type	message	created_time	comments	likes	commentsandlikes
109971182359978_589315674425524	link	Starting a Business: The Great Big Checklist of Everything http://premium.docstoc.com/article/153259413/starting-a-business-the-great-big-checklist-of-everything via @Docstoc	2013-04-27T21:25:27+0000	0	0	0
109971182359978_588859087804516	link	Older entrepreneurs offer a variety of advantages for small ventures: more business contacts_ useful insights and lessons_ knowledge of aging baby boomers_ ability to sit back and reflect on the bigger picture (think_ not just act)_ and domain knowledge and expertise.  http://www.pbs.org/newshour/businessdesk/2013/04/why-older-entrepreneurs-are-cr-1.html	2013-04-26T20:57:23+0000	1	6	7
109971182359978_589225961101162	photo	Dear All___ __This is sad to inform you all that I had a terrible motorcycle accident that led to the breaking of my right hand.  This sad event took place last Sunday evening on my way to one of our Ghettos Outreach Campaign site. My hand got broken with my bone shooting out. I was rushed to the hospital to seek medical attention. Presently I am at a renowned herbalist hospital where I am going to be for the next 2month until my hand gets better. __Please see attached photos of my broken hand. I am also posting a video recording of the accident on face book.__ __Best regards_	2013-04-27T16:55:17+0000	2	0	2
109971182359978_589252561098502	link	The Dorm Room Fund: Helping Student Entrepreneurs Thrive | Entrepreneurship Blog https://beacon.wharton.upenn.edu/entrepreneurship/2013/04/the-dorm-room-fund-helping-student-entrepreneurs-thrive/ via @ThinkDevGrow	2013-04-27T18:02:18+0000	0	0	0
109971182359978_589252127765212	link	U.S. Strategy Outlined to Encourage Strengthening of Manufacturing Communities. The U.S. Department of Commerce has announced it will make awards to up to 25 communities to launch implementation strategies. The solicitation for the awards will be released in May_ and awards of up to $200_000 each will be issued by the end of September.  http://www.commerce.gov/news/press-releases/2013/04/17/deputy-secretary-blank-announces-new-federal-partnership-promote-manu	2013-04-27T18:00:59+0000	0	0	0
109971182359978_589246591099099	link	A Swedish view of Silicon Valley_s _gold rush_: http://translate.google.com/translate?sl=sv&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&eotf=1&u=http%3A%2F%2Fwww.sydsvenskan.se%2Fekonomi%2Fde-graver-guld-i-usa%2F%3Fgoback%3D%252Egde_48688_member_236201376	2013-04-27T17:46:58+0000	2	0	2
109971182359978_589240747766350	link	Infographic:  Spreading the Love of Silicon Valley. U.S. legions love the Silicon moniker. Tech and fracking are leading to a U.S. recovery so expect to see a lot more venture activity around the U.S. and links to overseas markets.  FYI_ Sister Cities International will hold a Silicon Valley summit next summer_ which will be the fastest and easiest way to connect with Silicon Valley and other U.S. tech hubs_ so come if you can afford to visit the valley.   http://www.youngentrepreneur.com/blog/startup-news/spreading-the-love-of-silicon-valley-infographic/ via @youngtrep	2013-04-27T17:33:25+0000	2	0	2
109971182359978_589237744433317	link	South Africa update:  Silicon Valley accelerator heading to Cape Town -  http://businesstech.co.za/news/general/36096/silicon-valley-accelerator-heading-to-cape-town/ via @businesstechSA	2013-04-27T17:28:31+0000	0	0	0
109971182359978_589237517766673	link	U.K. update: Financiers push Johnson for _Buy British_ start-up policy - IT News from V3.co.uk http://www.v3.co.uk/v3-uk/news/2264557/financiers-push-johnson-for-buy-british-startup-policy via V3.co.uk	2013-04-27T17:27:42+0000	0	0	0
109971182359978_589236524433439	link	Asha Motwani Funds India-U.S. Entrepreneurial Program in Silicon Valley. http://www.indiawest.com/news/10566-asha-motwani-funds-india-u-s-entrepreneurial-program.html via Indiaa Renee	2013-04-27T17:25:59+0000	0	0	0
