id	type	message	created_time	comments	likes	commentsandlikes
9149038282_10151459428308283	link	Interview with the Steelworker_s point person on worker coops....	2013-04-10T13:32:22+0000	1	2	3
9149038282_10151450830993283	link	FAST FOOD WORKERS ALWAYS ASK US_ _MAY I HELP YOU._ THE REAL QUESTION IS ONE WE SHOULD ASK_ _HOW MAY WE HELP YOU____The Fast Food Forward campaign says hundreds of workers are now out on strike_ and that they are on track to have 400 strikers_ from about 70 stores_ by the end of the day.___http://oreaddaily.blogspot.com/2013/04/fast-food-workers-always-ask-us-may-i.html	2013-04-04T21:02:47+0000	1	1	2
9149038282_10151457486268283	link		2013-04-09T04:11:47+0000	0	0	0
9149038282_10151451092428283	status	Hey_ do you guys know about Transitions in Action?  They have a wider focus than SE_ but some areas overlap.  If you google them_ you should find a website and a FB group.	2013-04-05T00:09:25+0000	0	0	0
9149038282_10151431212898283	status		2013-03-24T01:42:02+0000	3	4	7
9149038282_10151450543693283	link	NORWAY	2013-04-04T16:58:16+0000	0	1	1
9149038282_10151412118538283	link	Anyone else want to try this?	2013-03-13T02:40:04+0000	1	3	4
9149038282_10151450007713283	link		2013-04-04T07:22:24+0000	0	2	2
9149038282_10151445036598283	status	The next era of socialism will not consist of state ownership and direction of the economy_ but instead will exist as both a resource for workers and for the marketplace_ so that there is justice for workers within a context of economic democracy.	2013-04-01T14:08:04+0000	1	4	5
9149038282_10151447714878283	link	_City College represents the radical notion that everyone – every single one of us – is capable of governing themselves and collaborating for the good of all – if granted our right to education and given the means to do so.____We can save City College.___http://oreaddaily.blogspot.com/2013/04/the-fight-to-save-city-college-of-san.html	2013-04-02T20:43:49+0000	0	0	0
9149038282_10151438638403283	link	Union and coops_ like peanut butter and jelly...	2013-03-28T14:19:30+0000	1	3	4
9149038282_10151437741473283	link	“This is war! We are not going to let you come in and take our city. This whole process is built on racism. It’s white supremacy at its best. ___http://oreaddaily.blogspot.com/2013/03/detroit-takeover-this-is-war.html	2013-03-27T21:28:28+0000	1	1	2
9149038282_10151434933848283	link		2013-03-26T05:47:06+0000	0	4	4
9149038282_10151432595153283	link	All I can say is this is really_ really long even for Scissions Theoretical Weekends. What it is is Chapter Tree of a book by Maria Mies. Save it somewhere and read it when you have time. __http://oreaddaily.blogspot.com/2013/03/maria-mies-colonization-and.html	2013-03-24T20:51:16+0000	0	0	0
9149038282_10151420592803283	link	The People_ is a term thrown around from the left to the right of the political spectrum_ from fascists to communists_ from anarchists to populists_ from the Tea Party to the Occupiers. They all talk of the people. They all claim to speak for the people. They all claim to work on behalf of the people_ to know what is best for the people_ to lead the people.__Who the hell are these _people_ anyway and do they really need anyone to speak for them_ represent them_ lead them?__http://oreaddaily.blogspot.com/2013/03/we-have-populism-because-there-is-no.html	2013-03-17T20:09:22+0000	2	0	2
9149038282_10151424718593283	status	http://pandodaily.com/2013/03/19/collaborative-consumption-is-dead-long-live-the-real-sharing-economy/_a controversial article about the fate of sharing and it_s co-optation by venture capitalism. is renting the same thing as mutual aid?	2013-03-20T00:06:17+0000	1	3	4
9149038282_10151428215968283	link	The only way today for the middle and lower economic classes to make a liveable wage is through Co-operatives.___For those that would blame consumers for taking on more debt than they should I would remind the critic that in no time since the New Deal era have Americans not enjoyed wage growth outpacing their debt burdens. In other words you could count on paying a marginally affordable debt more easily in the future due to your salary increasing. By the first decade of the 21st century_ this was no longer a dependable American reality.__In our economic past_ the longer you lived and worked_ the higher was your standard of living. That came to an end with globalization. Exploitation of wage differentials between nations has made raises and even job security a thing of the past. In the bargain it has made economic growth a thing of the past._	2013-03-22T04:44:03+0000	0	3	3
9149038282_10151427264128283	status	_In the aftermath of the 2008 financial crisis_ businesses_ products_ and services that benefit people_ communities_ and the planetÑinstead of a few megabanks and billionaires—have been in higher demand. The International Cooperative Alliance_s recently published _Blueprint for a Cooperative Decade_ lays out a long-term vision to make cooperatives not only the fastest-growing form of business but the acknowledged leader in environmental_ social_ and economic sustainability. From now on_ the global mantra for filling market gaps and new demands_ according to Eric DeLuca of the National Cooperative Business Association_ is going to be_ _There_s a co-op for that._  But co-ops—like any kind of business—need customers_ money_ training_ political support_ and help from their communities. How do we shift from business as usual to the work of cooperation? Here are a few strategies._	2013-03-21T15:36:44+0000	1	3	4
9149038282_10151425553868283	link	Amazing 5-minute video of innovation under worker ownership	2013-03-20T14:33:00+0000	1	2	3
9149038282_10151424388898283	link	SCISSION FEATURING THE NCAA TOURNAMENT FROM AN AUTONOMOUS MARXIST PERSPECTIVE.__I can_t say I am comfortable with my picks. Though I root for KU and though I have them winning them tournament_ I don_t really count on that happening. It just turned out that way because of the match ups_ that_s all I can say. My two big upsets which put South Dakota State over Michigan_ and then Montana over Syracuse in practically a home game for Syracuse seems a stretch_ but whatever_ I needed some big upsets. New Mexico in the Final Four_ well_ you never know. I almost picked St. Louis to upset Louisville_ but chickened out at the last minute. I think Louisville is not as good as everyone thinks_ same for Florida. I was shocked KU was a number two number one_ but lots of teams could have switched seeds and I don_t think those top seeds matter much especially this year. __http://oreaddaily.blogspot.com/2013/03/acura_19.html	2013-03-19T21:07:36+0000	0	0	0
9149038282_10151423885793283	status	Via Michel Bauwens	2013-03-19T15:07:56+0000	0	1	1
9149038282_10151418843283283	link	This is a Marxist and futurist site started several years before SEN_ but it continues to regularly supply us with mind-bending articles on transitional programs and structural reforms that can serves as bridges to 21st century socialism. Please _Like_ it...	2013-03-16T18:39:48+0000	0	3	3
