id	type	message	created_time	comments	likes	commentsandlikes
140630009439814_151151501720998	status	100 Points Distribution :_Very few ppl have given their names.._So if anyone who need points please fill this form  http://goo.gl/GXRSQ_I_ll be forwarding names at the end of this week..__thr are many ppl who got 10/10 in all homeworks..	2013-04-04T05:28:30+0000	4	0	4
140630009439814_150599865109495	link	i hv made this simple html form to collect name and their marks_here :  http://goo.gl/GXRSQ_please do fill this form so tht me and Mohammed can send names and marks to Lada.__or u can mail us yr names and w1-w4 marks.._my email : ami942@gmail.com_Mohammed Alhourani _s email : mmz.tech@gmail.com	2013-04-02T13:41:15+0000	12	3	15
140630009439814_150870435082438	status	# of Attempts  4/100__I_ve got 10/10 from my latest HW but honestly__1st attempt 4/10__2nd and 3rd attempt 7/10__just then I got it right :-/__Shame on me_ I didn_t manage my time well to study properly and that was the effect of it (previous HWs I_ve got 10/10 on first attempt). But my concern is not about the particular HW and that I was lazy_ rather about the number of attempts for a HW.__Isn_t 100 too much? I personally think that 3 would be just fine_ so that I_m forced to study the papers in more details. I know it_s a question of self motivation_ not punishing people ... but really think it would be better if the rules are more strict about this.__What do you think?	2013-04-03T08:33:18+0000	4	1	5
140630009439814_151011818401633	link	Want to visualize your LinkedIn network? Try their inmaps: http://inmaps.linkedinlabs.com/	2013-04-03T19:05:35+0000	2	12	14
140630009439814_151199241716224	link	Just found a very interesting web.	2013-04-04T08:23:28+0000	4	4	8
140630009439814_150886705080811	status	Hi guys___Because this week I_m travelling a lot I downloaded all the video lectures in advance. I noticed now while watching the first lecture of week 5_ that it seems like I cannot do the in-video quizzes this way. Because of this_ is there a way to download those quizzes and do them offline?__Unfortunately I have to survive with 1000mb of internet traffic on my phone_ which means I cannot watch the videos online while I_m on the road :(	2013-04-03T09:30:13+0000	2	0	2
140630009439814_150023788500436	status	You_re all gonna love this: http://pegasusdata.com/2013/01/10/facebook-friends-network-mapping-a-gephi-tutorial/	2013-03-31T19:09:02+0000	8	11	19
140630009439814_150072761828872	status	Can someone clear me up in regards to the peer assesments?__Are they optional or necessary to be done_ in order to get the certificate? Because in the syllabus they are not mentioned at all. If they_re required for the certificate_ could I pick any random data for assessment #1? (for example my LinkedIn Network)	2013-03-31T23:36:57+0000	2	0	2
140630009439814_150449835124498	status	This just popped up on another course I_m doing.  It_s a great place to setup a study room: http://www.getstudyroom.com/	2013-04-01T23:06:51+0000	4	1	5
140630009439814_150507378452077	status	Congratulations to Amit Das (Grand Champion) and Mohammed Alhourani (bonus 100 points)!!!	2013-04-02T05:13:15+0000	9	9	18
140630009439814_150528691783279	status	If anyone is looking to take their SNA knowledge further_ then it might be worth taking a look at this course I_ve just started: Social and Economic Networks: Models and Analysis.  It starts at where we are now (week 5) small worlds.  Week 1 is already quite challenging.  BTW_ you only get 1 attempt at each HW and the final exam is a four hour timed event...	2013-04-02T06:30:09+0000	22	2	24
140630009439814_150590401777108	status	More resource here to extend our knowledge and learning.  Data files for analysis: http://www.stanford.edu/~jacksonm/Data.html	2013-04-02T12:55:49+0000	0	3	3
140630009439814_150558215113660	status	Are you ready to take up this challenge?   :)	2013-04-02T10:02:42+0000	1	0	1
140630009439814_150116125157869	status	Im confused. __For question on Wk5 Quiz: _If each intermediate person in the chain has .5 probability of passing the letter on_ what is the likelihood of a china of length 5 being completed? _The answer was 1/16. _My answer was 1/8 since the last guy in the chain (hop5) did not need to pass on the message further along_ he is the end of the line right? So i did not include it in the count. (.5*.5*.5)	2013-04-01T02:08:49+0000	10	1	11
140630009439814_150355885133893	status	Another super Gephi tutorial here.  It is in French but Chrome does a beautiful job translating the page.__http://stratidev.com/cartographier-vos-informations-avec-gephi/	2013-04-01T18:44:56+0000	0	0	0
140630009439814_150340861802062	status	Hey_If you need research paper_ essay writing or homework help_ you may use www.essays4youth.com_I hope this would be useful for you!	2013-04-01T17:34:49+0000	0	0	0
140630009439814_150005158502299	status	There is a post in the course discussion forums asking if it is possible to enter values when thresholding filters in Gephi instead of using the slider.  I_ve just replied to that post_ but for those who don_t read the course forum_ yes you can enter numbers_ and here is how to do it.__Add your filter_ for example Topology > Degree Range.__Bottom left of Gephi you_ll see the slider to threshold the graph.__Under that slider you will see a low bound number to the left and a high bound number to the right.  It isn_t at all intuitive because there no input box to change these numbers_ but if you double click the number it will become highlighted.__Now enter your desired number and hit Enter.  This works for both the low and high bound range.__Voila_ your graph is now filtered and you haven_t had to mess around with a slider trying to get the last bit of accuracy :)	2013-03-31T17:43:42+0000	3	3	6
140630009439814_149365848566230	status	Ever heard of Kaggle?  http://www.kaggle.com__Kaggle is a place where you can participate in predicitve modelling (and earn money if you_re lucky).  Most of the projects require a serious background in data science_ but there is a _Getting Started_ project available.   I_m going to work through it and if anyone would like to join a team with me then let me know.__Details here: http://www.kaggle.com/c/titanic-gettingStarted/details/getting-started-with-excel	2013-03-29T16:32:01+0000	19	4	23
140630009439814_148660488636766	status	Anyone every experienced getting this error in netvizz?__API connection timeout. (Error message: Exception: 190: Error validating access token: Session has expired at unix time 1364349600. The current unix time is 1364349601.) Trying again._	2013-03-27T02:03:09+0000	19	0	19
140630009439814_150009628501852	status	Any Italian people here interested in an SNA workshop_ go here: http://t.co/RQg1zNMwmp	2013-03-31T18:07:27+0000	0	2	2
