by	post_id	by	post_text	post_published	comment_message	comment_published	comment_like_count
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_453214641421044	page_433933910015784	A landscape study of social enterprises in Hongkong_ 2013. You can download the document from here.	2013-04-22T08:39:33+0000	Document is in English and Chinese....	2013-04-22T08:40:08+0000	0
c36d2b9b83a62fb19e22859ece7bbd48836ff83e	433933910015784_453214641421044	page_433933910015784	A landscape study of social enterprises in Hongkong_ 2013. You can download the document from here.	2013-04-22T08:39:33+0000	Tio be precise, traditional Chinese.	2013-04-22T10:43:17+0000	0
9c6ef73765e1a68c28d04059b79918e3ebaf94fc	433933910015784_10152758307085573	user	This paper by Emily Kawano synthesizes the ongoing work of RIPESS of building SSE as an alternative model of development. Emily Kawano is Executive Director of the Center for Popular Economics_ coordinator of the U.S. Solidarity Economy Network_ and U.S. representative to the Board of RIPESS. 	2013-04-21T22:25:44+0000	i am using the same content from John Pierce to explain SSE... if more and more are explaining what it is more people will be aware ..	2013-04-21T22:34:20+0000	1
6444d31aba203709e59a3960ca7ff89d72a6ddae	433933910015784_10152758307085573	user	This paper by Emily Kawano synthesizes the ongoing work of RIPESS of building SSE as an alternative model of development. Emily Kawano is Executive Director of the Center for Popular Economics_ coordinator of the U.S. Solidarity Economy Network_ and U.S. representative to the Board of RIPESS. 	2013-04-21T22:25:44+0000	Kindly post some of your papers, Ethel. Papers in French are welcome here!	2013-04-21T22:46:44+0000	1
9c6ef73765e1a68c28d04059b79918e3ebaf94fc	433933910015784_10152758307085573	user	This paper by Emily Kawano synthesizes the ongoing work of RIPESS of building SSE as an alternative model of development. Emily Kawano is Executive Director of the Center for Popular Economics_ coordinator of the U.S. Solidarity Economy Network_ and U.S. representative to the Board of RIPESS. 	2013-04-21T22:25:44+0000	Ok I will I just sent today many picture from 500 social enterprises from all over Canada... with logos, pictures, brief descriptions - in a week i will be in Haiti for the first meeting of SSE of the francophone communities from Americas... in may in Paris, with women from 8 different countries... major SSE conference - capacity building and networking... anything i will post ... here or on your website??	2013-04-21T23:01:54+0000	1
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_10152758307085573	user	This paper by Emily Kawano synthesizes the ongoing work of RIPESS of building SSE as an alternative model of development. Emily Kawano is Executive Director of the Center for Popular Economics_ coordinator of the U.S. Solidarity Economy Network_ and U.S. representative to the Board of RIPESS. 	2013-04-21T22:25:44+0000	Hi Ethel Cote....Likes to place these logos on a special website but will have to wait for Daniel's instructions. I guess it is best to send to him for the time being. Hug and always keep safe.	2013-04-22T00:42:39+0000	0
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_452196301522878	page_433933910015784	Proceedings for the RAESS (Africa network) held on March 24 and 25_ 2013. The report (French only) can be downloaded from here:  https://www.dropbox.com/s/jxc5h53kl9vh65x/CR%20Rencontre%20RAESS%202013%20FINAL%20comp.pdf	2013-04-19T15:57:05+0000	La procédure de la RAESS (réseau Afrique) qui s'est tenue le 24 Mars et le 25 2013. Le rapport (en français seulement) peut être téléchargé ici: https://www.dropbox.com/s/jxc5h53kl9vh65x/CR%20Rencontre%20RAESS%202013%20FINAL%20comp.pdf	2013-04-19T15:58:38+0000	0
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_452196301522878	page_433933910015784	Proceedings for the RAESS (Africa network) held on March 24 and 25_ 2013. The report (French only) can be downloaded from here:  https://www.dropbox.com/s/jxc5h53kl9vh65x/CR%20Rencontre%20RAESS%202013%20FINAL%20comp.pdf	2013-04-19T15:57:05+0000	Procedimientos para la RAESS (red de África), celebrada el 24 y 25 de marzo de 2013. En el informe (sólo en francés) se puede descargar desde aquí: https://www.dropbox.com/s/jxc5h53kl9vh65x/CR%20Rencontre%20RAESS%202013%20FINAL%20comp.pdf	2013-04-19T15:59:44+0000	0
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_452196301522878	page_433933910015784	Proceedings for the RAESS (Africa network) held on March 24 and 25_ 2013. The report (French only) can be downloaded from here:  https://www.dropbox.com/s/jxc5h53kl9vh65x/CR%20Rencontre%20RAESS%202013%20FINAL%20comp.pdf	2013-04-19T15:57:05+0000	Thank you Yvon Poirier for this article. Merci.	2013-04-19T23:30:52+0000	0
c36d2b9b83a62fb19e22859ece7bbd48836ff83e	433933910015784_452196301522878	page_433933910015784	Proceedings for the RAESS (Africa network) held on March 24 and 25_ 2013. The report (French only) can be downloaded from here:  https://www.dropbox.com/s/jxc5h53kl9vh65x/CR%20Rencontre%20RAESS%202013%20FINAL%20comp.pdf	2013-04-19T15:57:05+0000	Juste une question: Je me souviens d'une madame marrocaine qui a exposé sur le panorame d'économie sociale et solidaire au Maroc lors de la Foire d'Economie Solidaire à Barcelone en octobre 2012, mais je n'ai pas pu trouver sa thèse doctorale écrite en français. Quelqu'un a l'accès à son ouvrage? Merci.	2013-04-22T13:40:33+0000	0
6444d31aba203709e59a3960ca7ff89d72a6ddae	433933910015784_452176198191555	page_433933910015784	EN I was so inspired by this video clip. Though it was about Climate Change_ I imagined a global day for solidarity economy.....Hmmmmm.  ES Yo estaba tan inspirado por este video. Aunque se trataba de Cambio Climático_ que imaginaba un día mundial para la economía solidaria....Hmmmmmm. FR J_ai été tellement inspiré par ce clip vidéo. Bien qu_il ait été sur le changement climatique_ j_ai imaginé une journée mondiale pour l_économie solidaire...hmmmmmm	2013-04-19T14:42:01+0000	Ed, make a short statement proposing a Global Day for social solidarity economy (SSE). It would be much easier for SSE networks to adopt this proposal when they meet face-to-face during the 5th RIPESS Intl Meeting. It could be set on the first day of the meeting, Oct 15, or on the last day, Oct 18, when delegates from 6 continents will make their own cultural presentations.	2013-04-20T09:28:19+0000	1
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_452172638191911	page_433933910015784	At our Family Day for social enterprises_ we revealed an infographic that shares the preliminary findings of the Malaysian National Census of Social Enterprises.  We would love to get to know more for our research... It would help us to understand further and implement the type of support and assistance our Malaysian social enterprises could benefit from!	2013-04-19T14:28:53+0000	Keep it up. We look forward to hearing more from you.	2013-04-19T15:02:54+0000	0
78b44443633261d4eeb897768858acf71917b3ca	433933910015784_452107368198438	page_433933910015784	English / Français    _It would be a very naïve attitude to wait until the ruling classes should develop a way of education to allow the ruled classes to notice social injustices in a critical way..._ (Paulo Freire)    _Il serait une attitute très naïve d_attendre jusqu_au temps où les classes dominantes développent une façon d_éducation qui permettent aux classes dominées à percevoir les injustices sociales d_une façon critique..._ (Paulo Freire)	2013-04-19T09:15:01+0000	se eu posso fazer uma sugestao : "Il serait particulièrement naïf d'attendre des classes dominantes qu'elles developpent une forme d'éducation qui permette aux classes dominées de percevoir les injustices sociales de manière critique..."	2013-04-19T12:36:36+0000	0
c36d2b9b83a62fb19e22859ece7bbd48836ff83e	433933910015784_452107368198438	page_433933910015784	English / Français    _It would be a very naïve attitude to wait until the ruling classes should develop a way of education to allow the ruled classes to notice social injustices in a critical way..._ (Paulo Freire)    _Il serait une attitute très naïve d_attendre jusqu_au temps où les classes dominantes développent une façon d_éducation qui permettent aux classes dominées à percevoir les injustices sociales d_une façon critique..._ (Paulo Freire)	2013-04-19T09:15:01+0000	Bom, na verdade sou eu que traduzi e como não falo nem francês nem português como língua materna, pode ter erros nos matizes. Mas o importante é passar a essência desta sabedoria brasileira para o mundo, sobre tudo para fora da América Latina....	2013-04-19T12:38:51+0000	1
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_451944331548075	page_433933910015784	English (Português e espanhol nos comentários)  An article on social currencies in Brazil.	2013-04-18T20:11:46+0000	Um artigo sobre moedas sociais no Brasil. http://infosurhoy.com/cocoon/saii/xhtml/pt/features/saii/features/economy/2013/04/04/feature-03	2013-04-18T20:12:12+0000	0
