type	by	post_message	picture	post_published	post_published_alt	likes	comments	shares	comment_likes	engagement
link	page_433933910015784		http://external.ak.fbcdn.net/safe_image.php?d=AQCS6_IpIKmLH_Ro&w=154&h=154&url=http%3A%2F%2Fwww.fbes.org.br%2Fimages%2Fstories%2Fforuns_estaduais%2Frs%2FConvite_Inaug_C_Econ_Solidaria_POA_1.jpg	2013-04-22T23:28:21+0000	2013-04-23 01:28:21	0	0	0	0	0
link	user	Castellano / English / Français  Un breve artículo que escribió Rafael Chaves (de la Univ. de Valencia donde estudio yo) sobre la Ley de Cooperativas en 1931 (Segunda República Española)_ que después fue anulada por Franco.  A short article in Spanish written by Rafael Chaves (of Univ. of Valencia where I study) about the Cooperative Act in 1931 (Second Spanish Republic)_ which was later nullified by Franco.  Un bref article écrit en espagnol par Rafael Chavevs (de l_Univ. de Valencia_ Espagne où j_étudie) sur la Loi de Coopératives en 1931 (II République Espagnole)_ qui serait après annulée par Franco.		2013-04-22T20:45:36+0000	2013-04-22 22:45:36	0	0	0	0	0
status	user	J_aimerais bien m_éclairer sur la différence entre l_ESMED et le MEDESS_ deux réseaux d_économie sociale et solidaire.  Quelqu_un peut me donner des idées?  Merci.		2013-04-22T09:53:21+0000	2013-04-22 11:53:21	0	0	0	0	0
photo	page_433933910015784		http://photos-g.ak.fbcdn.net/hphotos-ak-frc1/407165_453218384754003_1433592756_s.jpg	2013-04-22T09:14:23+0000	2013-04-22 11:14:23	2	0	2	0	4
link	page_433933910015784	A landscape study of social enterprises in Hongkong_ 2013. You can download the document from here.		2013-04-22T08:39:33+0000	2013-04-22 10:39:33	1	2	0	0	3
link	page_433933910015784	Introduction to Social Enterprises: A Learner_s Guide 2011 (in English only)....Geneva_ Switzerland and Pretoria_ South Africa. You can download this document below...		2013-04-22T08:12:34+0000	2013-04-22 10:12:34	0	0	0	0	0
video	page_433933910015784	This South African social enterprise paint their way to creating a social enterprise movement for the young. Awesome to watch.	http://external.ak.fbcdn.net/safe_image.php?d=AQAVXR6JJGpMvZbc&w=130&h=130&url=http%3A%2F%2Fb.vimeocdn.com%2Fts%2F434%2F206%2F434206736_1280.jpg	2013-04-22T08:02:39+0000	2013-04-22 10:02:39	1	0	0	0	1
link	page_433933910015784	redesigning the economy.....	http://external.ak.fbcdn.net/safe_image.php?d=AQCOA5fJ6cq_0Yrd&w=154&h=154&url=http%3A%2F%2Fwww.fastcoexist.com%2Fmultisite_files%2Fcoexist%2Fimagecache%2F960%2Fposter%2F2013%2F02%2F1681411-poster-1280-economy-redesign.jpg	2013-04-22T07:52:47+0000	2013-04-22 09:52:47	0	0	0	0	0
link	user	This paper by Emily Kawano synthesizes the ongoing work of RIPESS of building SSE as an alternative model of development. Emily Kawano is Executive Director of the Center for Popular Economics_ coordinator of the U.S. Solidarity Economy Network_ and U.S. representative to the Board of RIPESS. 	http://external.ak.fbcdn.net/safe_image.php?d=AQCRp_BH9zTjazHh&w=154&h=154&url=http%3A%2F%2Fwww.unrisd.org%2Funrisd%2Fwebsite%2Fnewsview.nsf%2F54963870bfa2f33f80256b56005e750d%2Ff1e9214cf8ea21a8c1257b1e003b4f65%2FenDescription%2F1110.3172%3FOpenElement%26FieldElemFormat%3Dgif	2013-04-21T22:25:44+0000	2013-04-22 00:25:44	5	4	5	3	17
link	page_433933910015784	Português / English / Français  Relatório anual do Banco Palmas (Fortaleza_ Brasil)_ o banco comunitário mais importante no Brasil.  Annual report of Banco Palmas (Fortaleza_ Brazil)_ Brazil_s most important community bank (in Portuguese).  Compte-rendu annuel de la Banque Palmas (Fortaleza_ Brésil)_ la banque communautaire la plus importante au Brésil (en portugais).		2013-04-20T13:13:36+0000	2013-04-20 15:13:36	1	0	3	0	4
photo	page_433933910015784	Proceedings for the RAESS (Africa network) held on March 24 and 25_ 2013. The report (French only) can be downloaded from here:  https://www.dropbox.com/s/jxc5h53kl9vh65x/CR%20Rencontre%20RAESS%202013%20FINAL%20comp.pdf	http://photos-b.ak.fbcdn.net/hphotos-ak-prn1/601815_452196284856213_1831197873_s.png	2013-04-19T15:57:05+0000	2013-04-19 17:57:05	0	4	2	0	6
